id_delito,tipo_muerte,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,area_hecho,lugar,tipo_lugar
122,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CASA/VILLA,PRIVADO
123,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,FINCA,PRIVADO
124,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,LAGUNA - LAGO,PÚBLICO
125,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,MAR,PÚBLICO
126,HOMICIDIO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,MECÁNICAS,PRIVADO
127,HOMICIDIO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,NIGHT CLUBS,PRIVADO
128,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,OTROS LOCALES COMERCIALES,PRIVADO
129,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,RÍO,PÚBLICO
130,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,TERRENO BALDÍO,PÚBLICO
131,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,TRANSPORTE PÚBLICO,PÚBLICO
132,ASESINATO,ARMA DE FUEGO,OTRO,DELINCUENCIA COMÚN,AMENAZA,A DETERMINARSE,URBANO,VÍA PÚBLICA,PÚBLICO
133,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,BARES,PRIVADO
134,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,BAZAR,PRIVADO
135,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,BODEGAS,PRIVADO
136,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,ROBO DE CARROS,HERIDA POR ARMA DE FUEGO,RURAL,BOSQUE Y RESERVAS ECOLÓGICAS,PÚBLICO
137,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CAJEROS,PÚBLICO
138,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CANCHAS DE USO MÚLTIPLE,PÚBLICO
139,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,CASA/VILLA,PRIVADO
140,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,CEMENTERIOS,PRIVADO
141,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,URBANO,CENTROS COMERCIALES,PRIVADO
142,ASESINATO,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,RURAL,COVACHA/CHOZA,PRIVADO
